paper_refer
"은행중심 자금조달 시스템의 문제점: 은행의 유동성위기가 기업가치에 미치는 영향 14 (1) : 161 ~ 188,"
"국내 은행간 합병의 효과분석 17 (1) : 283 ~ 306,"
"은행퇴출과 관계효과 상실에 관한 실증연구 5 (3) : 1 ~ 27,"
"관계금융효과의 비대칭성에 관한 실증연구: 제일은행 사례를 중심으로 : 425 ~ 463,"
"The Consolidation of the Financial Services Industry: Causes, Consequences, and Implications for the Future 23 : 135 ~ 194,"
"The Effects of Bank Mergers and Acquisitions on Small Business Lending 50 : 187 ~ 229,"
"The Effect of Lender Identity on a Borrowing Firm's Equity Return 50 : 699 ~ 718,"
"Relationship Banking: What Do We Know? 9 : 7 ~ 25,"
"A Research Note on the Theory of SME: Bank Relationship 10 : 327 ~ 331,"
"Banking Market Structure, Financial Dependence and Growth: International Evidence from Industry Data 56 : 617 ~ 648,"
Renegotiation and the Choice between Bank Loan and Publicly Traded Debt Review of 
"Relationship Lending with a Bank-Based System 9 : 90 ~ 109,"
"Stockholder Gains from Focusing versus Diversifying Bank Mergers 59 : 221 ~ 252,"
"Financial Intermediation and Delegated Monitoring : 393 ~ 414,"
"Is Relationship Lending Special? Evidence from Credit-File Data in Germany 22 : 1283 ~ 1326,"
"What's Different about Banks? : 29 ~ 39,"
"Why Do Banks Merge? 34 : 784 ~ 803,"
"Do Banking Shocks Affect Borrowing Firm Performance? An Analysis of the Japanese Experience 73 : 1 ~ 23,"
"Some Evidence on the Uniqueness of Bank Loans : 217 ~ 235,"
"Bank Relationships: A Review,"
"Empirical Evidence on the Duration of Bank Relationships 61 : 449 ~ 475,"
The Benefits of Lending Relationships Evidence from Small Business Data 
"The Effect of Credit Market Competition on Lending Relationships 110 : 407 ~ 443,"
"""Insiders and Outsiders:The Choice between Informed and Arm's-Length Debt 47 : 1367 ~ 1400,"
"The Effects of Banking Mergers on Loan Contracts 57 : 329 ~ 367,"
"Discretion in Bank Contracts and the Firm's Funding Source Choice between Bank and Financial Market Financing,"
A Stylized Model of Customer Relationships 
The Value of Bank Durability Borrowers as Bank Stakeholders 
"Asymmetric Information, Bank Lending, and Implicit Contracts: The Winner's Curse"
"옵션가격결정모형을 이용한 전환사채 전환권의 가치평가 2 (1) : 1 ~ 20,"
"증권발행기업의 장단기성과에 관한 연구 : 439 ~ 476,"
"우리나라 전환사채시장과 주식시장의 연관성 분석 : 485 ~ 521,"
"기업규모와 장부가/시가 비율과 주식수익률의 관계 13 (2) : 21 ~ 47,"
"전환사채발행과 기업가치 : 35 ~ 73,"
"수치해석에 의한 전환사채(CB) 의 가결결정 : 167 ~ 197,"
"전환확률을 고려한 전환사채 주식비중의 추정 : 161 ~ 186,"
"전환사채 발행회사의 장기성과 16 (2) : 95 ~ 127,"
"해외전환사채 발행의 정보효과에 관한 연구 : 263 ~ 289,"
"주가, 이익, Tobin-Q를 이용한 신호가설의 검증 (10) : 87 ~ 110,"
"외화증권발행 가이드,"
Valuation of primary issue convertible bonds 
"Analyzing convertible bonds 15 : 907 ~ 929,"
"Efficient financing under asymmetric information 42 : 1225 ~ 1243,"
The case of event studies 
"The leverage changing consequences of convertible debt financing : 15 ~ 21,"
"Agency problems, information asymmetries, and convertible debt security design : 32 ~ 59,"
"Is convertible debt a substitute for straight debt or for common equity? 28 : 5 ~ 27,"
"Signaling with convertible debt 30 : 425 ~ 440,"
"Valuation effects of corporate debt offerings : 119 ~ 151,"

"Options, Futures, and Other Derivatives,"
"Some new evidence on why companies use convertible bonds 10 : 44 ~ 53,"
"Timing, investment opportunities, managerial discretion, and the security issue decision 42 : 159 ~ 185,"
"""Informative conversion ratios:A signaling approach 25 : 229 ~ 243,"
"Performance following convertible bond issuance 4 : 185 ~ 207,"
"Why firms issue convertible bonds: the matching of financial and real investment options? 47 : 83 ~ 102,"
"Valuation effects of security offerings and the issuance process 15 : 31 ~ 60,"
"Dividend policy under asymmetric information 40 : 1031 ~ 1051,"
"Corporate financing and investment decisions when firms have information that investors do not have 13 : 187 ~ 221,"
"The long-run performance of stock returns following debt offerings 54 : 45 ~ 73,"
Convertible bonds as backdoor equity financing : 3 ~ 21
"기업가치평가론,"
"투자성과지표로서 EVA의 유용성에 관한 실증연구 14 (3) : 1 ~ 21,"
"우리나라 주식시장에서 투자지표로서 경제적 부가가치(EVA) 의 유용성에 관한 연구 4 (1) : 1 ~ 38,"
"상장기업 EVA분석,"
"한국기업의 가치평가모형 구축에 관한 실증적 연구 7 (1) : 71 ~ 98,"
EVA와 제 
"예측치 이익을 이용한 EVA 기업가치모형에 관한 연구 6 (1) : 117 ~ 140,"
"상장기업과 EVA분석,"
"상장기업의 가치평가 적정화에 관한 연구,"
"The Feltham-Ohlson Framework: Implications for Empiricists 11 (2) : 773 ~ 747,"
"Valuation: Measuring and Managing the value of Companies,"
"Investment Valuation - Tools and Techniques for Determining the Value of Any Asset,"
"Accounting Valuation, Market Expectation, and Cross-sectional Stock Returns : 283 ~ 319,"
"Foundations of EVA for Investment Managers : 41 ~ 47,"
"Measuring Shareholders' Management (3) : 87 ~ 101,"
"Investment Opportunities as Real Options: Getting Started on the Numbers : 51 ~ 67,"
"EVA and Market Value : 116 ~ 125,"
P/E Ratio and Earnings Capitalization Under Uncertainty 
"The Quest for Value : 306 ~ 350,"
"EVA for Banks: Value Creation, Risk Management and Profitability Measurement 9 : 94 ~ 113"
